ets_gene,buf_gene,r
Atp5f1b,Txn2,0.9868411932661721
Atp5f1b,Gpx4,0.9785857204668049
Cox6a1,Gpx4,0.9777240915895029
Cox4i1,Txn2,0.9757553500261468
Atp5pb,Gpx4,0.9753775188995357
Atp5pb,Txn2,0.9751945005712583
Ndufb8,Gpx4,0.9729533684658721
Atp5f1b,Prdx3,0.9728430302627948
Ndufb8,Txn2,0.9712016093939237
Cox6a1,Txn2,0.9693752770195929
Cox4i1,Gpx4,0.9678674167580449
Atp5pb,Prdx3,0.9612249460120575
Atp5po,Txn2,0.9609198933180761
Cox5a,Sod1,0.9603717206424306
Cox6b1,Gpx4,0.9514835767892995
Atp5po,Gpx4,0.9509011615902083
Atp5f1d,Sod2,0.9465041113734305
Cox5b,Txn2,0.9453317342743007
Ndufb8,Prdx3,0.9448181588641863
Ndufa9,Sod1,0.9442012757555933
Cox6b1,Txn2,0.9440263766674023
Atp5f1d,Sod1,0.9435053254926915
Uqcrb,Sod1,0.9431482009033988
Cox5b,Gpx4,0.942732500798326
Uqcrfs1,Sod1,0.9411209100011001
Atp5f1b,Glrx2,0.9394504285621723
Cox5b,Sod1,0.9377093983421159
Cox6a1,Prdx3,0.9372922038185265
Atp5po,Prdx3,0.9359036376357618
Cox5a,Txn2,0.935811878013603
Cox6b1,Prdx3,0.9344427578579962
Uqcrc1,Sod1,0.9339527572096775
Atp5pb,Glrx2,0.933022790098976
Cox5a,Gpx4,0.9325156770514055
Cox4i1,Prdx3,0.9297102573660576
Cox7a2,Sod1,0.9288318089716546
Cox7a2,Gpx4,0.9267260743131036
Cox5b,Prdx3,0.9207865441532402
Ndufb8,Sod1,0.9203607732073781
Cox7a2,Txn2,0.9189944005569904
Uqcrb,Gpx4,0.9161827537416817
Uqcrb,Txn2,0.9147476911876489
Cox7a2,Prdx3,0.914414725587762
Cox6b1,Sod2,0.911999628079559
Atp5f1b,Gclm,0.9111936765359742
Ndufa9,Sod2,0.9103340748421295
Cox6b1,Sod1,0.9103124774863819
Cox5a,Prdx3,0.9096296420603293
Cox6b1,Txnrd2,0.9094325356303837
Ndufb8,Txnrd2,0.9091053091570714
Ndufb8,Glrx2,0.9090764904390487
Cox5b,Txnrd2,0.908984053212145
Cyc1,Sod1,0.9080122770599565
Atp5pb,Txnrd2,0.9065145931909087
Atp5po,Sod1,0.9060178825567609
Atp5pb,Sod1,0.9054801687332403
Atp5po,Txnrd2,0.9041261193382207
Cox4i1,Glrx2,0.9025629708124238
Cox6a1,Sod1,0.8999954781563478
Uqcrb,Prdx3,0.8979932134495493
Uqcrc1,Sod2,0.8968980066093004
Atp5f1b,Txnrd2,0.8966693326289475
Cox6a1,Sod2,0.8963478630704009
Ndufs7,Sod1,0.8943233411521342
Atp5po,Sod2,0.8943112863540573
Cox5b,Sod2,0.8915257593183469
Cox7a2,Sod2,0.8908592812830955
Uqcrfs1,Txnrd2,0.8903584117214661
Ndufv2,Sod1,0.8902745317028995
Atp5pb,Sod2,0.8892227012079575
Cox7a2,Txnrd2,0.8891016522128005
Uqcrc1,Prdx3,0.8871300654601063
Cox5a,Txnrd2,0.886973645731057
Ndufa9,Prdx3,0.8860832530472244
Uqcrb,Glrx2,0.8855347493953118
Atp5po,Glrx2,0.884347610149877
Uqcrb,Txnrd2,0.8840872050318418
Uqcrc1,Gpx4,0.8831920231805483
Ndufb8,Sod2,0.8801393987554049
Uqcrc1,Txn2,0.8784796118970838
Ndufa9,Gpx4,0.8774446844647089
Cox6a1,Glrx2,0.8771027615371462
Cox4i1,Txnrd2,0.8758167393568128
Cox5b,Glrx2,0.8754879303414216
Ndufa9,Prdx5,0.8740113800726548
Cox7a2,Glrx2,0.8730925803020604
Uqcrfs1,Prdx3,0.8725755215690447
Cox4i1,Sod1,0.8722710580965405
Cox5a,Sod2,0.8698836605337104
Ndufa10,Sod1,0.8694059530171729
Atp5f1b,Sod2,0.869158552610139
Ndufa9,Txn2,0.8681933918787349
Uqcrfs1,Txn2,0.8661603051334232
Atp5f1d,Prdx3,0.8654058913736062
Uqcrb,Sod2,0.8652995173815844
Atp5f1d,Gpx4,0.8635060184670544
Uqcrfs1,Gpx4,0.8625086979080866
Cyc1,Prdx3,0.8617965359099228
Uqcrc1,Glrx2,0.8606220823073134
Atp5f1b,Sod1,0.8602875590011119
Cox7a2,Prdx5,0.8597105581016462
Cox5b,Prdx5,0.8587416919429798
Cox6a1,Txnrd2,0.8576200366758896
Ndufv2,Prdx5,0.8573583184684221
Atp5f1d,Txn2,0.8552502582568454
Ndufv2,Sod2,0.8535560094610086
Cox5a,Glrx2,0.8528075572989737
Uqcrfs1,Prdx5,0.8519630409841955
Uqcrc1,Prdx5,0.8518646115544491
Cox6b1,Glrx2,0.8508251153886053
Cyc1,Sod2,0.8501638897993362
Uqcrc1,Txnrd2,0.849869142425818
Cox4i1,Sod2,0.8481429446081143
Uqcrb,Prdx5,0.8476915338188881
Uqcrfs1,Sod2,0.8472159770960398
Uqcrfs1,Glrx2,0.8453411063684062
Cox4i1,Gclm,0.842718833925537
Cyc1,Prdx5,0.8420327052091516
Cyc1,Txnrd2,0.8418624858742846
Cox5a,Prdx5,0.83854697087294106
Ndufa9,Txnrd2,0.8369139788790517
Cycs,Prdx3,0.8366844170712455
Ndufs7,Prdx5,0.836655796744066
Cox6b1,Prdx5,0.8307704626293838
Atp5pb,Gclm,0.8304441829919419
Cyc1,Gpx4,0.8243668737517933
Atp5po,Prdx5,0.8216995797887927
Cycs,Gpx4,0.8216788974438644
Cyc1,Txn2,0.8205745211555284
Cox6a1,Gclm,0.8202585580638406
Atp5pb,Prdx5,0.8196700100673925
Cox6a1,Prdx5,0.8189827905582177
Ndufb8,Prdx5,0.8178075758739907
Ndufb8,Gclm,0.8170208432916808
Ndufa10,Sod2,0.8166617223184717
Ndufa9,Glrx2,0.8146430897884992
Ndufa10,Prdx5,0.8069238714610282
Cycs,Txn2,0.8048382661929881
Atp5f1d,Txnrd2,0.804246678483299
Cox4i1,Prdx5,0.8031030652135707
Cyc1,Glrx2,0.8016324540042556
Ndufv2,Prdx3,0.8014175969159442
Atp5po,Gclm,0.8002978603333553
Ndufs7,Txnrd2,0.7986476827058653
Cycs,Sod1,0.7888694118034406
Ndufs8,Sod1,0.7883908012397051
Atp5f1a,Sod1,0.7862820505001927
Ndufv2,Gpx4,0.7832033682557096
Cycs,Sod2,0.7816421246561654
Ndufv2,Txnrd2,0.7804199619741504
Ndufs7,Gpx4,0.779929562979324
Atp5f1d,Glrx2,0.7769911718371066
Cox6b1,Gclm,0.7765520871796543
Atp5mc1,Nnt,0.7749123910071701
Ndufs7,Sod2,0.7744767526834955
Ndufv2,Txn2,0.7729747348491011
Cox5a,Gclm,0.7701315349953787
Atp5f1d,Prdx5,0.7660198858209097
Ndufv2,Glrx2,0.7653107186687984
Ndufs8,Sod2,0.7646230734198679
Ndufs7,Prdx3,0.7632521449011489
Cycs,Glrx2,0.7628204339902148
Atp5f1a,Sod2,0.7625903201201752
Ndufa10,Prdx3,0.7593535139665862
Ndufs7,Txn2,0.7588081847090759
Cox5b,Gclm,0.757715068144388
Ndufa10,Txnrd2,0.7532674989530193
Atp5f1c,Prdx5,0.7463964966929023
Atp5f1b,Prdx5,0.7432194096775607
Ndufa9,Gsr,0.7364610842747089
Ndufa10,Gpx4,0.7306986127170175
Ndufv1,Sod1,0.7299236686201562
Atp5f1a,Prdx5,0.7270272285375189
Cox5a,Gsr,0.7246761881531448
Ndufa10,Txn2,0.7242851579658718
Ndufa10,Glrx2,0.7231198600099662
