ets_gene,buf_gene,r,r_with_bat,delta_r
Atp5f1b,Txn2,0.9803042365530503,0.986841193266172,-0.006536956713121711
Atp5pb,Txn2,0.9708885453227271,0.9751945005712584,-0.00430595524853139
Atp5f1b,Gpx4,0.9683741124322789,0.9785857204668048,-0.01021160803452592
Ndufb8,Txn2,0.9660474074709896,0.9712016093939236,-0.005154201922934032
Cox6a1,Gpx4,0.9647595628196842,0.9777240915895028,-0.012964528769818573
Atp5f1b,Prdx3,0.9640226575656239,0.9728430302627948,-0.008820372697170953
Cox4i1,Txn2,0.9635470113531936,0.9757553500261468,-0.012208338672953123
Atp5pb,Gpx4,0.963253416139588,0.9753775188995356,-0.012124102759947575
Ndufb8,Gpx4,0.9601740267290536,0.972953368465872,-0.012779341736818384
Cox6a1,Txn2,0.9567570020468065,0.9693752770195928,-0.012618274972786336
Atp5f1b,Gclm,0.9564741903872133,0.9111936765359742,0.0452805138512391
Atp5po,Txn2,0.9515462131925077,0.960919893318076,-0.009373680125568384
Cox4i1,Gpx4,0.9511161865006088,0.9678674167580448,-0.016751230257435967
Cox5b,Txn2,0.9440032813229877,0.9453317342743008,-0.0013284529513131194
Cox7a2,Txn2,0.9365422623765769,0.9189944005569904,0.017547861819586452
Cox6b1,Txn2,0.9322026536336522,0.9440263766674024,-0.011823723033750233
Atp5pb,Prdx3,0.9314083984788833,0.9612249460120575,-0.029816547533174198
Cox6b1,Gpx4,0.9310104597070255,0.9514835767892996,-0.020473117082274173
Cox7a2,Gpx4,0.924906893501032,0.9267260743131036,-0.0018191808120716635
Atp5po,Gpx4,0.9236407829303127,0.9509011615902084,-0.027260378659895723
Cox5b,Gpx4,0.921838450361058,0.942732500798326,-0.020894050437267997
Uqcrc1,Txn2,0.9197334763230162,0.8784796118970838,0.041253864425932374
Cox5a,Sod1,0.9194691429228451,0.9603717206424306,-0.0409025777195855
Cox5a,Txn2,0.9151062428356532,0.935811878013603,-0.020705635177949766
Uqcrb,Txn2,0.9139493663343017,0.9147476911876488,-7.983248533470766e-4
Atp5f1b,Glrx2,0.9091520640323123,0.9394504285621724,-0.030298364529860122
Atp5pb,Gclm,0.9035730073619811,0.8304441829919419,0.0731288243700392
Ndufb8,Prdx3,0.901792123665881,0.9448181588641864,-0.04302603519830539
Atp5pb,Glrx2,0.9004072014969478,0.933022790098976,-0.03261558860202829
Atp5f1d,Sod2,0.898179579043098,0.9465041113734304,-0.048324532330332404
Cox5a,Gpx4,0.8949268988178088,0.9325156770514056,-0.03758877823359674
Cox4i1,Prdx3,0.8926157056326156,0.9297102573660576,-0.037094551733442005
Cox6a1,Prdx3,0.8918794142451528,0.9372922038185264,-0.04541278957337358
Uqcrb,Gpx4,0.891364539798424,0.9161827537416816,-0.02481821394325756
Ndufb8,Gclm,0.8899512667876963,0.8170208432916808,0.07293042349601553
Uqcrc1,Gpx4,0.8881049891314745,0.8831920231805483,0.0049129659509261625
Uqcrfs1,Txn2,0.8879216722234242,0.8661603051334232,0.021761367090000983
Atp5po,Prdx3,0.8852579189614297,0.9359036376357618,-0.050645718674332096
Cox6b1,Prdx3,0.883022429897792,0.9344427578579962,-0.05142032796020424
Atp5po,Gclm,0.8737885656013473,0.8002978603333553,0.07349070526799206
Uqcrc1,Glrx2,0.8728584866544247,0.8606220823073134,0.012236404347111263
Cox6a1,Gclm,0.8725753013616595,0.8202585580638406,0.05231674329781888
Cox4i1,Gclm,0.8717473747787374,0.842718833925537,0.02902854085320039
Atp5f1d,Sod1,0.8668614408602621,0.9435053254926916,-0.07664388463242955
Uqcrfs1,Sod1,0.864291189823265,0.9411209100011,-0.07682972017783496
Cox7a2,Prdx3,0.8637151004936217,0.914414725587762,-0.05069962509414039
Cox6b1,Gclm,0.8636011832255024,0.7765520871796543,0.0870490960458481
