gene_symbol,feature_id,tissue,timepoint,logFC_EE,logFC_RE,adj_p_EE,adj_p_RE,gene_set,source_sheet
MDH1,ENSG00000014641.21,muscle,post_24_hr,0.316384,0.111264,5.95e-4,0.274883,Neufer,EE_muscle_only
NDUFS1,ENSG00000023228.14,muscle,post_24_hr,0.169891,-0.00493,0.032756,0.970467,Neufer,EE_muscle_only
ACADVL,ENSG00000072778.20,muscle,post_24_hr,0.20032,0.019973,0.005432,0.851627,Neufer,EE_muscle_only
VDAC3,ENSG00000078668.14,muscle,post_24_hr,0.173808,-0.05656,0.022862,0.514724,MitoDynamics,EE_muscle_only
HADHA,ENSG00000084754.12,muscle,post_24_hr,0.220456,-0.03828,0.001168,0.674998,Neufer,EE_muscle_only
ETFB,ENSG00000105379.10,muscle,post_24_hr,0.258426,0.023338,8.68e-4,0.844124,Neufer,EE_muscle_only
ATP5F1B,ENSG00000110955.9,muscle,post_24_hr,0.186735,0.048032,0.006813,0.567521,Neufer,EE_muscle_only
NDUFS7,ENSG00000115286.21,muscle,post_24_hr,0.165766,0.006448,0.040319,0.96103,Neufer,EE_muscle_only
ATP5PB,ENSG00000116459.11,muscle,post_24_hr,0.214665,0.081622,2.21e-4,0.188605,Neufer,EE_muscle_only
COX4I1,ENSG00000131143.10,muscle,post_24_hr,0.15491,0.037551,0.014638,0.632214,Neufer,EE_muscle_only
PDHA1,ENSG00000131828.14,muscle,post_24_hr,0.143248,0.038018,0.045278,0.65588,Both,EE_muscle_only
PRKAA1,ENSG00000132356.12,muscle,post_3.5_4_hr,-0.18459,-0.02181,0.011458,0.79627,MitoDynamics,EE_muscle_only
NDUFA9,ENSG00000139180.11,muscle,post_24_hr,0.17088,0.039542,0.031659,0.689013,Neufer,EE_muscle_only
DLAT,ENSG00000150768.17,muscle,post_24_hr,0.314874,0.069538,7.13e-4,0.554966,Both,EE_muscle_only
ATP5F1A,ENSG00000152234.16,muscle,post_24_hr,0.244158,0.081435,3.96e-4,0.289456,Neufer,EE_muscle_only
CPT2,ENSG00000157184.7,muscle,post_24_hr,0.368439,0.070977,1.01e-4,0.570622,Neufer,EE_muscle_only
NDUFV1,ENSG00000167792.13,muscle,post_24_hr,0.150179,0.036288,0.025114,0.660045,Neufer,EE_muscle_only
UQCRFS1,ENSG00000169021.6,muscle,post_24_hr,0.240632,0.100008,3.27e-4,0.153642,Neufer,EE_muscle_only
ETFDH,ENSG00000171503.13,muscle,post_24_hr,0.295291,0.046809,9.65e-5,0.650594,Neufer,EE_muscle_only
PDP2,ENSG00000172840.7,muscle,post_3.5_4_hr,0.637622,0.018655,4.73e-6,0.92693,MitoDynamics,EE_muscle_only
DDIT3,ENSG00000175197.13,muscle,post_15_30_45_min,0.822065,0.29049,1.36e-9,0.135016,MitoDynamics,EE_muscle_only
CYC1,ENSG00000179091.5,muscle,post_24_hr,0.207619,0.093008,0.002052,0.180992,Neufer,EE_muscle_only
OPA1,ENSG00000198836.11,muscle,post_24_hr,0.137559,0.042599,0.031126,0.562675,MitoDynamics,EE_muscle_only
NDUFS3,ENSG00000213619.11,muscle,post_24_hr,0.220136,0.085687,0.001818,0.261026,Neufer,EE_muscle_only
