gene_symbol,framework_category,feature_ID,ensembl_gene,assay,tissue,sex,comparison_group,logFC,adj_p_value,p_value,selection_fdr,tscore,shrunk_logFC,zscore,sex_label,role,sig_dot
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,ADRNL,male,1w,3.6321670800099,0.0131154958662055,1.97729082102344e-6,3.74647800787162e-7,NA,3.21490761163057,4.75573154613391,Male,Import (LDHB),●
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,ADRNL,male,2w,1.2687513794584,1,0.0775433401358051,3.74647800787162e-7,NA,0.0040425072663145,1.7651215467574,Male,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,ADRNL,male,4w,0.624384111345709,1,0.359145653331613,3.74647800787162e-7,NA,4.49906653855923e-4,0.916994249774884,Male,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,ADRNL,male,8w,1.2240390108491,1,0.0795699669545417,3.74647800787162e-7,NA,0.0372977217178425,1.75318668982622,Male,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,ADRNL,female,1w,-2.01333360687023,1,0.00630733349858064,3.74647800787162e-7,NA,-0.165125057722925,-2.73136103135953,Female,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,ADRNL,female,2w,-2.1679087979362,0.515876839711836,2.43789261644628e-4,3.74647800787162e-7,NA,-1.13605479170296,-3.66869756834541,Female,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,ADRNL,female,4w,-1.26002429900327,1,0.0334070624415463,3.74647800787162e-7,NA,-0.0326976010395461,-2.12715673663526,Female,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,ADRNL,female,8w,-2.53199180684079,0.134690688820698,3.79260407286559e-5,3.74647800787162e-7,NA,-2.03365532213487,-4.11976415100002,Female,Import (LDHB),
Ldha,shuttles,ENSRNOG00000013009,ENSRNOG00000013009,TRNSCRPT,ADRNL,male,1w,0.826141036685212,0.0324857563858323,6.05944146975326e-6,2.33437679109939e-8,NA,0.761802274977154,4.52430456528772,Male,Export (LDHA),●
Ldha,shuttles,ENSRNOG00000013009,ENSRNOG00000013009,TRNSCRPT,ADRNL,male,2w,0.0597548177556548,1,0.728076970794203,2.33437679109939e-8,NA,0.00278951603453618,0.347684723264119,Male,Export (LDHA),
Ldha,shuttles,ENSRNOG00000013009,ENSRNOG00000013009,TRNSCRPT,ADRNL,male,4w,0.109911963368964,1,0.499574801578059,2.33437679109939e-8,NA,8.87641884953207e-4,0.675158922271757,Male,Export (LDHA),
Ldha,shuttles,ENSRNOG00000013009,ENSRNOG00000013009,TRNSCRPT,ADRNL,male,8w,-0.165131952848128,1,0.322669045073707,2.33437679109939e-8,NA,-0.0389469742611667,-0.988987934196859,Male,Export (LDHA),
Ldha,shuttles,ENSRNOG00000013009,ENSRNOG00000013009,TRNSCRPT,ADRNL,female,1w,-0.512926242424424,1,0.00957987711432112,2.33437679109939e-8,NA,-0.224563777168008,-2.59063596121235,Female,Export (LDHA),
Ldha,shuttles,ENSRNOG00000013009,ENSRNOG00000013009,TRNSCRPT,ADRNL,female,2w,-0.651249385732902,0.142462402060039,4.08204236351549e-5,2.33437679109939e-8,NA,-0.562149409971647,-4.10278630989761,Female,Export (LDHA),
Ldha,shuttles,ENSRNOG00000013009,ENSRNOG00000013009,TRNSCRPT,ADRNL,female,4w,-0.395537668574689,1,0.0129311261087101,2.33437679109939e-8,NA,-0.108446995240811,-2.48566050268083,Female,Export (LDHA),
Ldha,shuttles,ENSRNOG00000013009,ENSRNOG00000013009,TRNSCRPT,ADRNL,female,8w,-0.66285097379031,0.188428204460612,5.91632392327462e-5,2.33437679109939e-8,NA,-0.545038337969241,-4.01612358387799,Female,Export (LDHA),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,BAT,male,1w,0.0648291103255272,1,0.696836080708635,0.021645994395326,NA,6.59700166973852e-5,0.389594958473252,Male,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,BAT,male,2w,0.12444768214245,1,0.440672557270193,0.021645994395326,NA,0.00479769802223909,0.771057994262275,Male,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,BAT,male,4w,-0.093413328683081,1,0.548519275052942,0.021645994395326,NA,-4.86318703900625e-4,-0.599980434403486,Male,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,BAT,male,8w,-0.649175279430303,0.524786954293227,2.49588704111161e-4,0.021645994395326,NA,-0.551337252743746,-3.66268158902947,Male,Import (LDHB),
Ldhb,shuttles,ENSRNOG00000013000,ENSRNOG00000013000,TRNSCRPT,BAT,female,1w,-0.00324592732278529,1,0.971858783013179,0.021645994395326,NA,-6.06183024550118e-4,-0.0352771006299429,Female,Import (LDHB),
