gene_symbol,framework_category,feature_ID,ensembl_gene,assay,tissue,sex,comparison_group,logFC,adj_p_value,p_value,selection_fdr,tscore,shrunk_logFC,zscore
Atp5f1a,atp_synthase,ENSRNOG00000017032,ENSRNOG00000017032,TRNSCRPT,BAT,male,8w,-0.853903687887038,5.32793163760158e-7,1.92958463791491e-11,9.14448991564708e-9,NA,-0.805071173287056,-6.7112543176039
Atp5f1a,atp_synthase,NP_075581.1,ENSRNOG00000017032,PROT,SKM-GN,female,8w,0.659671585152824,5.92836255962533e-4,7.09494112276228e-9,7.33275675585456e-6,8.42014475528714,NA,NA
Atp5f1b,atp_synthase,ENSRNOG00000002840,ENSRNOG00000002840,TRNSCRPT,BLOOD,male,8w,1.38423194344344,7.23131597920371e-13,9.33057153546457e-18,4.26220632291591e-13,NA,1.27719731942024,8.58191606515919
Atp5f1b,atp_synthase,ENSRNOG00000002840,ENSRNOG00000002840,TRNSCRPT,BAT,male,8w,-0.88133842635025506,9.81451914495549e-9,2.4118554558094e-13,6.48448435397038e-10,NA,-0.836910109536524,-7.32372229319157
Atp5f1b,atp_synthase,ENSRNOG00000002840,ENSRNOG00000002840,TRNSCRPT,BLOOD,male,1w,0.791914362575007,5.84434040862812e-5,3.6128035077923e-9,4.26220632291591e-13,NA,0.676924297451877,5.90101121218547
Atp5f1b,atp_synthase,ENSRNOG00000002840,ENSRNOG00000002840,TRNSCRPT,BLOOD,male,2w,0.971543125313204,1.20734941257807e-4,8.2070038715352e-9,4.26220632291591e-13,NA,0.832940314603603,5.764150742949
Atp5f1b,atp_synthase,NP_599191.1,ENSRNOG00000002840,PROT,SKM-GN,female,8w,0.613342041260307,0.00548149804077749,1.7369469407637e-7,2.95701644692922e-5,7.06761809468629,NA,NA
Atp5f1b,atp_synthase,NP_599191.1_K485k,ENSRNOG00000002840,ACETYL,LIVER,male,8w,0.450773507939916,0.0498264487897756,5.57516302986828e-6,0.00122199916434835,5.9002542851401,NA,NA
Atp5f1c,atp_synthase,ENSRNOG00000019223,ENSRNOG00000019223,TRNSCRPT,BAT,male,8w,-0.620312146731145,3.62257612737531e-4,2.85976803731061e-8,5.74530834218225e-5,NA,-0.586033718783732,-5.54981209391777
Atp5f1c,atp_synthase,NP_446277.1_K55k,ENSRNOG00000019223,ACETYL,LIVER,male,8w,0.81309702984387,0.010801825293475,4.41271913957598e-7,1.30594866358979e-4,6.9960625889684,NA,NA
