framework_category,gene_symbol,assay,tissue,sex,n_timepoints_sig,min_adj_p,max_abs_logFC
atp_synthase,Atp5f1b,TRNSCRPT,BLOOD,male,3,7.23131597920371e-13,1.38423194344344
atp_synthase,Atp5f1b,TRNSCRPT,BAT,male,1,9.81451914495549e-9,0.88133842635025506
atp_synthase,Atp5f1a,TRNSCRPT,BAT,male,1,5.32793163760158e-7,0.853903687887038
atp_synthase,Atp5po,TRNSCRPT,BAT,male,1,1.02470984023919e-6,0.850270289210127
atp_synthase,Atp5f1e,TRNSCRPT,BAT,male,1,1.09694566210869e-6,1.00129958154601
atp_synthase,Atp5f1d,TRNSCRPT,BAT,male,1,6.58102066127375e-6,0.720994125197528
atp_synthase,Atp5pb,TRNSCRPT,BAT,male,2,4.0652271281904e-5,0.733365202630214
atp_synthase,Atp5f1c,TRNSCRPT,BAT,male,1,3.62257612737531e-4,0.620312146731145
atp_synthase,Atp5f1a,PROT,SKM-GN,female,1,5.92836255962533e-4,0.659671585152824
atp_synthase,Atp5mc1,TRNSCRPT,SKM-VL,female,1,6.37455536249057e-4,0.462450088212449
atp_synthase,Atp5pb,TRNSCRPT,BLOOD,male,2,6.44862792371723e-4,0.859138152123477
atp_synthase,Atp5f1d,PROT,SKM-GN,female,1,0.00119227859260891,0.56806176438421
atp_synthase,Atp5mc1,TRNSCRPT,SKM-GN,male,1,0.00177003794582003,0.346527558203015
atp_synthase,Atp5po,PROT,SKM-GN,female,1,0.00344120322559514,0.512944805862524
atp_synthase,Atp5f1b,PROT,SKM-GN,female,1,0.00548149804077749,0.613342041260307
atp_synthase,Atp5po,TRNSCRPT,BLOOD,male,1,0.00893098031236716,0.904510060533116
atp_synthase,Atp5f1c,ACETYL,LIVER,male,2,0.010801825293475,0.81309702984387
atp_synthase,Atp5po,ACETYL,LIVER,male,2,0.0151918378552324,1.14512157173081
atp_synthase,Atp5f1c,PROT,SKM-GN,female,1,0.0191969521290635,0.608585659901265
atp_synthase,Atp5mc3,TRNSCRPT,SKM-VL,female,2,0.0192202361173097,0.445469298041699
atp_synthase,Atp5mc3,TRNSCRPT,HEART,female,1,0.0254792493091077,0.125243301560079
atp_synthase,Atp5po,TRNSCRPT,SKM-VL,female,1,0.0365071037803935,0.302398475761578
atp_synthase,Atp5f1b,ACETYL,LIVER,male,1,0.0498264487897756,0.450773507939916
beta_ox,Acadm,TRNSCRPT,BAT,male,1,7.0934140643106e-10,1.31075952643525
beta_ox,Cpt2,TRNSCRPT,BAT,male,1,1.89468360078381e-7,1.16077280770152
beta_ox,Hadhb,TRNSCRPT,BAT,male,1,3.12289772466556e-6,0.971264515451867
beta_ox,Acadl,TRNSCRPT,BAT,male,1,5.02282566488709e-6,1.05401391802598
beta_ox,Hadha,TRNSCRPT,BAT,male,1,9.33460517668838e-6,0.912255526598478
beta_ox,Acadvl,TRNSCRPT,BAT,male,1,2.80035932937898e-4,0.967927349893746
beta_ox,Acadm,PROT,SKM-GN,female,1,0.00240234106242642,0.51621642972093
beta_ox,Acadvl,ACETYL,HEART,male,5,0.00262525220078746,0.53234204243734
beta_ox,Acadvl,PROT,SKM-GN,female,1,0.00316215451495974,0.462330556694476
beta_ox,Acadm,TRNSCRPT,ADRNL,male,1,0.00335067526784155,1.84537717253103
beta_ox,Cpt1a,TRNSCRPT,ADRNL,female,1,0.00393297173739026,0.660266241922653
beta_ox,Hadha,PROT,KIDNEY,male,1,0.00424330616657796,0.277718997040547
beta_ox,Acadl,TRNSCRPT,ADRNL,male,1,0.00684996735941267,1.88365125184624
beta_ox,Cpt2,PROT,KIDNEY,male,1,0.00831643749435828,0.279720782330011
beta_ox,Acadvl,TRNSCRPT,SKM-VL,female,1,0.0118806985660995,0.587961681115011
beta_ox,Hadhb,TRNSCRPT,ADRNL,male,1,0.0127429270312904,1.58220820809718
beta_ox,Acadvl,TRNSCRPT,ADRNL,male,1,0.0180826827354864,1.53376688982196
beta_ox,Hadha,TRNSCRPT,BLOOD,male,1,0.0212450878283246,0.976310896046655
beta_ox,Acadm,ACETYL,LIVER,male,1,0.0326303820350347,1.38100024500172
beta_ox,Cpt1b,TRNSCRPT,ADRNL,female,1,0.0406959245096625,3.32585940846488
beta_ox,Cpt1b,TRNSCRPT,BAT,male,1,0.0496023770867964,0.705263376898506
cyt_c,Cycs,TRNSCRPT,SKM-VL,female,1,1.03099384028443e-6,0.396975155804282
cyt_c,Cycs,TRNSCRPT,BAT,male,1,1.12720510901388e-4,0.817220216914749
cyt_c,Cycs,TRNSCRPT,ADRNL,female,1,0.00970594990881919,1.81547608239814
cyt_c,Cycs,TRNSCRPT,SKM-GN,male,3,0.0103943622242643,0.577131414451357
ets_CI,Ndufs2,TRNSCRPT,BAT,male,1,3.35594497980156e-8,0.978592191159683
ets_CI,Ndufb8,TRNSCRPT,BAT,male,1,1.74044969000094e-7,0.941724107413964
ets_CI,Ndufb8,TRNSCRPT,BLOOD,male,2,2.68469521586409e-7,1.12619161460547
ets_CI,Ndufa10,TRNSCRPT,BAT,male,1,4.61736609371006e-7,0.959433205360879
ets_CI,Ndufv1,TRNSCRPT,BAT,male,1,9.96906624482401e-7,0.996854020300958
