gene_symbol,framework_category,feature_ID,ensembl_gene,assay,tissue,sex,comparison_group,logFC,adj_p_value,p_value,selection_fdr,tscore,shrunk_logFC,zscore,sex_label,sig_dot,assay_label
Sdhc,q_pool,NP_001005534.1,ENSRNOG00000003163,PROT,LUNG,male,1w,-0.213181237657455,1,0.0229439784311197,0.569106273647578,-2.40828635814758,NA,NA,Male,,Protein
Sdhc,q_pool,NP_001005534.1,ENSRNOG00000003163,PROT,LUNG,male,2w,-0.0813191319870046,1,0.36621557709075,0.569106273647578,-0.918653810122756,NA,NA,Male,,Protein
Sdhc,q_pool,NP_001005534.1,ENSRNOG00000003163,PROT,LUNG,male,4w,-0.22718536857156,1,0.015983078279264,0.569106273647578,-2.56648957438158,NA,NA,Male,,Protein
Sdhc,q_pool,NP_001005534.1,ENSRNOG00000003163,PROT,LUNG,male,8w,-0.234540844489329,1,0.0131662880005692,0.569106273647578,-2.64958362386311,NA,NA,Male,,Protein
Sdhc,q_pool,NP_001005534.1,ENSRNOG00000003163,PROT,LUNG,female,1w,-0.0055088133773604,1,0.946692197834582,0.569106273647578,-0.0674714855423786,NA,NA,Female,,Protein
Sdhc,q_pool,NP_001005534.1,ENSRNOG00000003163,PROT,LUNG,female,2w,-0.113638065814063,1,0.17507663029645,0.569106273647578,-1.3918295265089,NA,NA,Female,,Protein
Sdhc,q_pool,NP_001005534.1,ENSRNOG00000003163,PROT,LUNG,female,4w,-0.0701481879633059,1,0.397639381776765,0.569106273647578,-0.859169139662908,NA,NA,Female,,Protein
Sdhc,q_pool,NP_001005534.1,ENSRNOG00000003163,PROT,LUNG,female,8w,-0.0428641573314792,1,0.603772625254711,0.569106273647578,-0.524996614255051,NA,NA,Female,,Protein
Sdhb,q_pool,NP_001094009.1,ENSRNOG00000007967,PROT,LUNG,male,1w,-0.0475568053407437,1,0.504456820150883,1,-0.67631202937962,NA,NA,Male,,Protein
Sdhb,q_pool,NP_001094009.1,ENSRNOG00000007967,PROT,LUNG,male,2w,-0.0558684434740079,1,0.433658661739949,1,-0.794513006360742,NA,NA,Male,,Protein
Sdhb,q_pool,NP_001094009.1,ENSRNOG00000007967,PROT,LUNG,male,4w,-0.110305540618389,1,0.128090727461897,1,-1.56867063489492,NA,NA,Male,,Protein
Sdhb,q_pool,NP_001094009.1,ENSRNOG00000007967,PROT,LUNG,male,8w,-0.0817939896565354,1,0.254679997902481,1,-1.1632038514638,NA,NA,Male,,Protein
Sdhb,q_pool,NP_001094009.1,ENSRNOG00000007967,PROT,LUNG,female,1w,0.0370164730448638,1,0.635211720315403,1,0.479705844691122,NA,NA,Female,,Protein
Sdhb,q_pool,NP_001094009.1,ENSRNOG00000007967,PROT,LUNG,female,2w,0.0606769312508186,1,0.438367123762815,1,0.786327712088114,NA,NA,Female,,Protein
Sdhb,q_pool,NP_001094009.1,ENSRNOG00000007967,PROT,LUNG,female,4w,0.12551057667539,1,0.1151898727716,1,1.62652333540167,NA,NA,Female,,Protein
Sdhb,q_pool,NP_001094009.1,ENSRNOG00000007967,PROT,LUNG,female,8w,0.0585003872548144,1,0.45479584387235,1,0.758121327464567,NA,NA,Female,,Protein
Sdha,q_pool,NP_569112.1,ENSRNOG00000013331,PROT,LUNG,male,1w,-0.0163570540488745,1,0.670643546183005,0.734237316197787,-0.429836425240546,NA,NA,Male,,Protein
Sdha,q_pool,NP_569112.1,ENSRNOG00000013331,PROT,LUNG,male,2w,-0.0197565281782003,1,0.607770842299071,0.734237316197787,-0.519169003287976,NA,NA,Male,,Protein
Sdha,q_pool,NP_569112.1,ENSRNOG00000013331,PROT,LUNG,male,4w,-0.0551903240012064,1,0.158213607867365,0.734237316197787,-1.45031076535315,NA,NA,Male,,Protein
Sdha,q_pool,NP_569112.1,ENSRNOG00000013331,PROT,LUNG,male,8w,-0.102018277254875,1,0.0122311125153952,0.734237316197787,-2.68087220800324,NA,NA,Male,,Protein
Sdha,q_pool,NP_569112.1,ENSRNOG00000013331,PROT,LUNG,female,1w,-0.0318505750800606,1,0.541474378290271,0.734237316197787,-0.618248413718062,NA,NA,Female,,Protein
Sdha,q_pool,NP_569112.1,ENSRNOG00000013331,PROT,LUNG,female,2w,-0.0527893287879634,1,0.31439725295951,0.734237316197787,-1.02468852453566,NA,NA,Female,,Protein
Sdha,q_pool,NP_569112.1,ENSRNOG00000013331,PROT,LUNG,female,4w,0.0215563238528063,1,0.678868627162522,0.734237316197787,0.418427704808805,NA,NA,Female,,Protein
Sdha,q_pool,NP_569112.1,ENSRNOG00000013331,PROT,LUNG,female,8w,-0.0226902245373481,1,0.663046334457336,0.734237316197787,-0.440437740664349,NA,NA,Female,,Protein
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,male,1w,-0.116327441168014,1,0.011634974666201,0.323032450727686,NA,-0.0516785529818845,-2.52302615568265,Male,,Transcript
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,male,2w,-0.0895614044899249,1,0.0595362449924211,0.323032450727686,NA,-0.0153482049279314,-1.88421244389787,Male,,Transcript
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,male,4w,-0.0460494790130704,1,0.374555883055651,0.323032450727686,NA,-0.00830056020006355,-0.887971869745792,Male,,Transcript
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,male,8w,-0.0333568198995056,1,0.530194341188221,0.323032450727686,NA,-0.00455628424978,-0.62770937739441,Male,,Transcript
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,female,1w,-0.0736272611383383,1,0.162291058010654,0.323032450727686,NA,-0.0253212506166826,-1.39740752348299,Female,,Transcript
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,female,2w,-0.116005535422247,1,0.0205588817198831,0.323032450727686,NA,-0.060192277215972,-2.31598877253769,Female,,Transcript
