canonical,metab_group,tissue,sex,comparison_group,logFC,adj_p_value,p_value,n_platform_entries,sex_label,sig_dot
Citrate,TCA cycle,BAT,female,1w,0.239343622747,1,0.377107727424073,1,Female,
Citrate,TCA cycle,BAT,female,2w,0.2856531909600605,1,0.116488647101603,2,Female,
Citrate,TCA cycle,BAT,female,4w,0.1710046239703965,1,0.470769100422447,2,Female,
Citrate,TCA cycle,BAT,female,8w,0.13664999210492298,1,0.125225270601814,2,Female,
Citrate,TCA cycle,BAT,male,1w,0.20202774924550648,1,0.396629838493154,2,Male,
Citrate,TCA cycle,BAT,male,2w,-0.03952530493589571,1,0.760125350972222,2,Male,
Citrate,TCA cycle,BAT,male,4w,0.17480985444281494,1,0.215146718950929,2,Male,
Citrate,TCA cycle,BAT,male,8w,-0.743667657620209,1,0.0229944253765606,1,Male,
Citrate,TCA cycle,HEART,female,1w,0.44901679182668275,1,0.0052564802916368,4,Female,
Citrate,TCA cycle,HEART,female,2w,0.2734499144464382,1,0.00561775436344072,4,Female,
Citrate,TCA cycle,HEART,female,4w,0.20197377299748015,1,0.0245752493677578,4,Female,
Citrate,TCA cycle,HEART,female,8w,0.07945064392741798,1,0.189457766962793,4,Female,
Citrate,TCA cycle,HEART,male,1w,0.23091643427849257,0.758822572444226,0.001751798706551,4,Male,
Citrate,TCA cycle,HEART,male,2w,0.39952578415997175,0.389466825346885,5.15735653414903e-4,4,Male,
Citrate,TCA cycle,HEART,male,4w,0.25108464218564797,1,0.0400475656224261,4,Male,
Citrate,TCA cycle,HEART,male,8w,-0.21560427053514494,1,0.0734887273725388,4,Male,
Citrate,TCA cycle,HIPPOC,female,1w,-0.23035177926980824,1,0.0801932366960774,2,Female,
Citrate,TCA cycle,HIPPOC,female,2w,0.06679250255665994,1,0.560969503200997,2,Female,
Citrate,TCA cycle,HIPPOC,female,4w,-0.09338693993233485,1,0.494318056017972,2,Female,
Citrate,TCA cycle,HIPPOC,female,8w,0.2088815952796209,1,0.143622813135433,2,Female,
Citrate,TCA cycle,HIPPOC,male,1w,0.07740574080653449,1,0.216117365781775,2,Male,
Citrate,TCA cycle,HIPPOC,male,2w,0.261611238818305,1,0.20550551568432,2,Male,
Citrate,TCA cycle,HIPPOC,male,4w,0.13616553062518602,1,0.0754465818098617,2,Male,
Citrate,TCA cycle,HIPPOC,male,8w,-0.0025956175116139957,1,0.630454912577853,2,Male,
Citrate,TCA cycle,KIDNEY,female,1w,-0.06813368904236267,1,0.0437095934505854,3,Female,
Citrate,TCA cycle,KIDNEY,female,2w,0.0328035486567102,1,0.0434432798719962,3,Female,
Citrate,TCA cycle,KIDNEY,female,4w,-0.16352652167803133,0.250691569851328,2.10416315623653e-4,3,Female,
Citrate,TCA cycle,KIDNEY,female,8w,0.11179498187818268,1,0.0526798755550599,3,Female,
Citrate,TCA cycle,KIDNEY,male,1w,0.3460823588121097,1,0.0186945901880163,3,Male,
Citrate,TCA cycle,KIDNEY,male,2w,0.39047318352378957,1,0.0053301047611255,3,Male,
Citrate,TCA cycle,KIDNEY,male,4w,0.200938105835839,1,0.114874399532887,3,Male,
Citrate,TCA cycle,KIDNEY,male,8w,0.13398662170856185,1,0.0961039605172509,3,Male,
Citrate,TCA cycle,LIVER,female,1w,0.17724285100284248,1,0.00570595763933299,3,Female,
Citrate,TCA cycle,LIVER,female,2w,-0.06124802750242897,1,0.345846267518651,3,Female,
Citrate,TCA cycle,LIVER,female,4w,0.28495311257330536,1,0.0608576073523346,3,Female,
Citrate,TCA cycle,LIVER,female,8w,0.11812970971987033,1,0.264098196600632,3,Female,
Citrate,TCA cycle,LIVER,male,1w,0.33478042986362505,1,0.0077536973797124,3,Male,
Citrate,TCA cycle,LIVER,male,2w,0.20304358979522166,1,0.00414225389373756,3,Male,
Citrate,TCA cycle,LIVER,male,4w,0.17968690599180956,1,0.184717008531306,3,Male,
Citrate,TCA cycle,LIVER,male,8w,-0.05256251924573863,1,0.165810917120192,3,Male,
Citrate,TCA cycle,LUNG,female,1w,-0.077672179003593,1,0.456161498074026,3,Female,
Citrate,TCA cycle,LUNG,female,2w,-0.06833072722974749,1,0.316369115679605,3,Female,
Citrate,TCA cycle,LUNG,female,4w,-0.07585190783346767,1,0.326935015111471,3,Female,
Citrate,TCA cycle,LUNG,female,8w,0.033326187538048994,1,0.489275300225243,3,Female,
Citrate,TCA cycle,LUNG,male,1w,0.18515994757530663,1,0.236536216914617,3,Male,
Citrate,TCA cycle,LUNG,male,2w,0.02355039692241913,1,0.274227469714652,3,Male,
Citrate,TCA cycle,LUNG,male,4w,-0.05712788460200125,1,0.0390348478840882,3,Male,
Citrate,TCA cycle,LUNG,male,8w,-0.17190215086176197,1,0.198283448370408,3,Male,
Citrate,TCA cycle,NA,female,1w,-0.290237613573062,1,0.0586052693502574,3,Female,
Citrate,TCA cycle,NA,female,2w,-0.15815429017520308,1,0.221899046255322,3,Female,
Citrate,TCA cycle,NA,female,4w,-0.23626781455022966,0.946512351098012,0.00263791789353758,3,Female,
Citrate,TCA cycle,NA,female,8w,-0.0317363266822061,1,0.188486697619208,3,Female,
Citrate,TCA cycle,NA,male,1w,-0.059610091607646,1,0.503082794474701,3,Male,
Citrate,TCA cycle,NA,male,2w,-0.1995408285196624,1,0.027833536097233,3,Male,
Citrate,TCA cycle,NA,male,4w,-0.18515160463021268,1,0.226685891249214,3,Male,
Citrate,TCA cycle,NA,male,8w,-0.697108487741505,0.365049140914152,4.56802708711734e-4,3,Male,
Citrate,TCA cycle,SKM-GN,female,1w,-0.37290062872504304,0.619576981531512,0.00119669841582795,3,Female,
Citrate,TCA cycle,SKM-GN,female,2w,-0.30329317832327835,1,0.0288657921420311,3,Female,
Citrate,TCA cycle,SKM-GN,female,4w,-0.3880093294561707,0.97951937577193,0.00284580144394884,3,Female,
Citrate,TCA cycle,SKM-GN,female,8w,-0.03573528311334733,1,0.256107922452388,3,Female,
Citrate,TCA cycle,SKM-GN,male,1w,0.034466496716689665,1,0.0655787114895389,3,Male,
Citrate,TCA cycle,SKM-GN,male,2w,-0.05623634888464999,1,0.250312335360741,3,Male,
Citrate,TCA cycle,SKM-GN,male,4w,0.151148647726162,1,0.363434524215605,3,Male,
Citrate,TCA cycle,SKM-GN,male,8w,0.2133407910968159,1,0.0638451532669059,3,Male,
Citrate,TCA cycle,WAT-SC,female,1w,-0.19067860285667698,1,0.0197138223348865,2,Female,
Citrate,TCA cycle,WAT-SC,female,2w,0.1654537929572305,1,0.061035372549887,2,Female,
Citrate,TCA cycle,WAT-SC,female,4w,-0.05968353381713368,1,0.64213551975738,2,Female,
Citrate,TCA cycle,WAT-SC,female,8w,0.37898313943524,1,0.113129919484683,2,Female,
Citrate,TCA cycle,WAT-SC,male,1w,-0.1895654100588402,1,0.330178664933697,2,Male,
Citrate,TCA cycle,WAT-SC,male,2w,-0.1587692702000041,1,0.391696528439811,2,Male,
Citrate,TCA cycle,WAT-SC,male,4w,-0.289826884721025,1,0.210825362254208,2,Male,
Citrate,TCA cycle,WAT-SC,male,8w,0.20067810108948198,1,0.483772884384449,2,Male,
Citrate+Isocitrate,TCA cycle,BAT,female,1w,-0.931276668953244,1,0.012884928190276,1,Female,
Citrate+Isocitrate,TCA cycle,BAT,female,2w,-1.04755151426233,1,0.00602125801370743,1,Female,
Citrate+Isocitrate,TCA cycle,BAT,female,4w,-1.07220753579544,1,0.00511038596541826,1,Female,
Citrate+Isocitrate,TCA cycle,BAT,female,8w,-0.695492354699515,1,0.0653505997781532,1,Female,
Citrate+Isocitrate,TCA cycle,BAT,male,1w,-0.548972834583827,1,0.133268951147443,1,Male,
Citrate+Isocitrate,TCA cycle,BAT,male,2w,-0.918662309719387,1,0.0163460755079659,1,Male,
Citrate+Isocitrate,TCA cycle,BAT,male,4w,0.0877729251868272,1,0.805083796101496,1,Male,
Citrate+Isocitrate,TCA cycle,BAT,male,8w,0.347655636807031,1,0.401090183061309,1,Male,
Citrate+Isocitrate,TCA cycle,HEART,female,1w,0.657921751417058,1,0.0052564802916368,1,Female,
Citrate+Isocitrate,TCA cycle,HEART,female,2w,0.36212100839167,1,0.104239827565031,1,Female,
Citrate+Isocitrate,TCA cycle,HEART,female,4w,0.153171370014777,1,0.482038643308086,1,Female,
Citrate+Isocitrate,TCA cycle,HEART,female,8w,0.0744801532795769,1,0.731442689814807,1,Female,
Citrate+Isocitrate,TCA cycle,HEART,male,1w,0.0759666242370312,1,0.7423131845487,1,Male,
Citrate+Isocitrate,TCA cycle,HEART,male,2w,0.239027348320596,1,0.305720922180775,1,Male,
Citrate+Isocitrate,TCA cycle,HEART,male,4w,0.302499856906304,1,0.197811299687498,1,Male,
Citrate+Isocitrate,TCA cycle,HEART,male,8w,0.0687947665680033,1,0.765846426529697,1,Male,
Citrate+Isocitrate,TCA cycle,HIPPOC,female,1w,0.0285454085228025,1,0.934192365298655,1,Female,
Citrate+Isocitrate,TCA cycle,HIPPOC,female,2w,0.225417112822256,1,0.516471279164483,1,Female,
Citrate+Isocitrate,TCA cycle,HIPPOC,female,4w,-0.00728408270207292,1,0.984149718154507,1,Female,
Citrate+Isocitrate,TCA cycle,HIPPOC,female,8w,0.140240841858667,1,0.685553539468052,1,Female,
Citrate+Isocitrate,TCA cycle,HIPPOC,male,1w,-0.334221712086091,1,0.387590085657955,1,Male,
Citrate+Isocitrate,TCA cycle,HIPPOC,male,2w,-0.28211210982650903,1,0.464731149248359,1,Male,
Citrate+Isocitrate,TCA cycle,HIPPOC,male,4w,0.235656568779069,1,0.54065521076103,1,Male,
