tissue,ets_mean_male,ets_mean_female,ets_mean_avg,ets_n_sig_male,ets_n_sig_female,buf_mean_male,buf_mean_female,buf_mean_avg,buf_n_sig_male,buf_n_sig_female,buf_ets_ratio_male,buf_ets_ratio_female,top_r23_cat,top_r23_mean,top_r23_n_sig,top_gene,top_gene_cat,top_gene_lfc,top_gene_adj_p,top_gene_sex,top_gene_dataset,trx_prot_r_all,trx_prot_r_ets,trx_prot_ets_sig,assay_coverage,has_PROT,has_PHOSPHO,has_ACETYL,has_UBIQ,has_METAB,sex_diff_flag
SKM-GN,0.17,0.18,0.175,1,0,0.059,0.009,0.034,0,0,0.346,0.051,mtUPR,0.058,0,Cox6b1,ets_CIV,0.319,8.06e-4,Male,Neufer,0.58,0.38,1,PPhM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
SKM-VL,0.134,0.26,0.197,0,2,0.113,0.065,0.089,0,1,0.844,0.249,Fission,-0.215,0,Cycs,cyt_c,0.397,1.03e-6,Female,Neufer,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
HEART,-0.006,0.044,0.019,0,1,0.039,0.028,0.034,0,0,NA,0.65,Fission,-0.157,0,Ucp2,ucp,-0.413,2.95e-7,Male,Neufer,0.35,0.03,0,PPhAUM,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
BAT,-0.946,-0.252,-0.599,22,0,-0.329,-0.099,-0.214,5,0,0.348,0.391,Mitokines,0.628,0,Hmox1,ros_signaling,3.214,3.86e-12,Male,MitoDyn,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WAT-SC,-0.018,0.196,0.089,0,0,-0.019,0.09,0.035,0,1,1.065,0.457,Mitokines,-0.337,0,Sod1,sod,0.542,9.1e-5,Female,Neufer,0.05,-0.11,0,PPhM,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
LIVER,-0.024,0.019,-0.003,0,0,0.006,-0.002,0.002,0,0,-0.265,-0.097,AMPK,0.206,0,Ldha,shuttles,-0.454,0.00168,Male,Neufer,0.25,-0.09,0,PPhAUM,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
KIDNEY,-0.009,0.01,0.001,0,0,-0.059,0.012,-0.024,0,0,NA,1.177,Fission,-0.254,0,Etfdh,q_pool,-0.171,1,Male,Neufer,0.89,-0.19,0,PPhM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
LUNG,-0.002,0.026,0.012,0,0,-0.016,0.007,-0.005,0,0,NA,0.282,Mitokines,0.245,0,Txnip,ros_signaling,-0.279,0.575,Male,MitoDyn,0.16,-0.16,0,PPhM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADRNL,0.152,-0.811,-0.33,0,0,0.078,-0.017,0.03,0,0,0.512,0.021,Mitokines,0.319,0,Ucp1,ucp,-32.31,1.55e-18,Female,Neufer,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BLOOD,0.518,0.181,0.35,6,0,0.633,0.055,0.344,4,0,1.222,0.306,AMPK,0.681,0,Atp5f1b,atp_synthase,1.384,7.23e-13,Male,Neufer,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CORTEX,-0.031,0.015,-0.008,0,0,0.013,-0.003,0.005,0,0,-0.403,-0.19,Fission,0.183,0,Pdp1,pdk_pdp,-0.285,0.0157,Female,MitoDyn,0.12,0.29,0,PPhM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
HIPPOC,0.019,-0.023,-0.002,0,0,0.027,-0.022,0.003,0,0,1.406,0.984,Mitokines,-0.255,0,Atf5,integrated_stress,0.243,1,Male,MitoDyn,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
HYPOTH,-0.027,0.012,-0.007,0,0,-0.016,0.033,0.009,0,0,0.572,2.837,Mitokines,-0.207,0,Mff,fission,-5.834,1,Female,MitoDyn,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
VENACV,-0.016,0.143,0.064,0,0,0.035,0.102,0.068,0,0,-2.256,0.716,Fusion,0.139,0,Mff,fission,-1.018,1,Female,MitoDyn,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
COLON,0.085,0.179,0.132,0,0,0.055,0.074,0.064,0,0,0.643,0.415,Fission,0.245,0,Mdh2,shuttles,0.327,0.065,Female,Neufer,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SMLINT,-0.007,-0.004,-0.005,0,0,0.033,-0.01,0.012,0,0,NA,NA,Fission,-0.835,0,Mff,fission,-13.623,1,Female,MitoDyn,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SPLEEN,0.069,0.073,0.071,0,0,0.106,0.117,0.112,0,0,1.539,1.614,Fission,0.144,0,Bnip3l,mitophagy,0.47,0.0102,Female,MitoDyn,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OVARY,NA,-0.013,NA,NA,0,NA,0.017,NA,NA,0,NA,-1.283,Mitokines,-0.248,0,Slc16a2,mct_transport,-0.393,1,Female,MitoDyn,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,NA
TESTES,0.013,NA,NA,0,NA,-0.016,NA,NA,0,NA,-1.227,NA,Mitokines,0.364,0,Me2,nadph_other,-0.17,1,Male,Neufer,NA,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,NA
