gene_symbol,framework_category,feature_ID,ensembl_gene,assay,tissue,sex,comparison_group,logFC,adj_p_value,p_value,selection_fdr,tscore,shrunk_logFC,zscore
Nnt,nnt,ENSRNOG00000026842,ENSRNOG00000026842,TRNSCRPT,LUNG,male,1w,-0.157868990903716,0.178156947749706,5.48254310621144e-5,6.27020723509449e-5,NA,-0.109128301511862,-4.03404234631513
Nnt,nnt,NP_001013175.1_K397k,ENSRNOG00000026842,ACETYL,LIVER,male,8w,0.365789529842841,0.260623276458992,1.50398441034166e-4,0.0182509009223529,4.54660678930152,NA,NA
Nnt,nnt,ENSRNOG00000026842,ENSRNOG00000026842,TRNSCRPT,ADRNL,female,8w,0.402318047275504,0.347398706095582,1.38274557449852e-4,0.0146803210819963,NA,0.323874442732229,3.81123442614837
Nnt,nnt,ENSRNOG00000026842,ENSRNOG00000026842,TRNSCRPT,SKM-VL,female,4w,0.470808062406045,0.430077638956951,1.87919289944524e-4,0.00310379007687531,NA,0.319408359418036,3.73472651104184
Nnt,nnt,NP_001013175.1_K397k,ENSRNOG00000026842,ACETYL,LIVER,male,2w,0.313404409201693,0.479903970035407,4.89760029901619e-4,0.0182509009223529,4.06869849606379,NA,NA
Nnt,nnt,NP_001013175.1_K323k,ENSRNOG00000026842,ACETYL,LIVER,male,2w,0.261069986367718,0.498525643951699,5.33218553110792e-4,0.0536375514854646,4.03421278258638,NA,NA
Nnt,nnt,NP_001013175.1_K229k,ENSRNOG00000026842,ACETYL,LIVER,male,8w,0.26882940809699,0.519683498867421,5.81543759216382e-4,0.00823653086995205,3.99900021569809,NA,NA
Nnt,nnt,NP_001013175.1_K323k,ENSRNOG00000026842,ACETYL,LIVER,male,8w,0.259729187620695,0.615347398842605,8.54183779482289e-4,0.0536375514854646,3.84262789683282,NA,NA
Nnt,nnt,NP_001013175.1,ENSRNOG00000026842,PROT,WAT-SC,male,8w,0.544438052779519,0.635031508337862,2.2395362375874e-4,0.0872686936986177,4.22997801393246,NA,NA
Nnt,nnt,ENSRNOG00000026842,ENSRNOG00000026842,TRNSCRPT,LUNG,male,2w,-0.144574262808888,0.660355511623459,3.49711357099137e-4,6.27020723509449e-5,NA,-0.0445538246732616,-3.5753861359748
Nnt,nnt,NP_001013175.1_K224k,ENSRNOG00000026842,ACETYL,LIVER,male,8w,0.216206938063595,0.76710481990285,0.00137472609277965,0.0102902396813325,3.64807505806259,NA,NA
Nnt,nnt,NP_001013175.1_K471k,ENSRNOG00000026842,ACETYL,HEART,male,4w,0.826014884972044,0.80983232364275,0.00155876300489438,0.109742024096827,3.60103057167166,NA,NA
Nnt,nnt,NP_001013175.1_K229k,ENSRNOG00000026842,ACETYL,LIVER,female,8w,0.229880885205025,0.812198589979294,0.00157128169666584,0.00823653086995205,3.50323135709704,NA,NA
Nnt,nnt,NP_001013175.1_K1079k,ENSRNOG00000026842,ACETYL,LIVER,male,8w,0.327830947421266,0.916005498426192,0.00198467690009239,0.186163037536114,3.49689634632499,NA,NA
Nnt,nnt,NP_001013175.1_K323k,ENSRNOG00000026842,ACETYL,HEART,female,2w,0.174528556796348,0.932549000295333,0.00206478355789648,0.137091454125644,3.39869822262228,NA,NA
Nnt,nnt,NP_001013175.1_K55k,ENSRNOG00000026842,ACETYL,HEART,female,4w,0.220751413012394,0.996135147637349,0.00237510769457129,0.181173364725245,3.34413797446302,NA,NA
Nnt,nnt,NP_001013175.1_T465t,ENSRNOG00000026842,PHOSPHO,HEART,male,2w,0.635975375187767,1,3.34400745241771e-4,0.157910564153772,4.36525402631355,NA,NA
